Wall time,Step,Value
1778327430.0052469,99,0.534258246421814
1778329901.8663096,104,0.5967195630073547
1778332368.9045737,109,0.579624593257904
1778334846.9502873,114,0.5878949165344238
1778337320.2018085,119,0.6604904532432556
1778339770.4996622,124,0.6461825966835022
1778342237.1145704,129,0.6848049759864807
1778344704.0598269,134,0.7067780494689941
1778347168.5740247,139,0.6759259104728699
1778349637.6098638,144,0.6443545818328857
1778352103.4151733,149,0.6569299101829529
1778354562.536344,154,0.6790291666984558
1778357018.473379,159,0.7118656635284424
1778359472.8502533,164,0.7441580295562744
1778361945.6333716,169,0.7102686166763306
1778364400.8563209,174,0.6720520257949829
1778366858.3666334,179,0.7201029658317566
1778369319.8563998,184,0.746023952960968
1778371775.3353696,189,0.7573736310005188
1778374236.0811884,194,0.7388549447059631
1778376689.875096,199,0.7811160087585449
1778379143.6469703,204,0.7555652856826782
1778381588.077279,209,0.7709906101226807
1778384030.9247947,214,0.778441309928894
1778386476.8333778,219,0.7851425409317017
1778388923.7247238,224,0.7859053611755371
1778391369.3008575,229,0.7555741667747498
1778393820.1388326,234,0.7771682739257812
1778396265.511624,239,0.7941291332244873
1778398711.2842414,244,0.7763291001319885
1778401153.0601103,249,0.775788426399231
1778403594.9570687,254,0.8016195893287659
1778406040.5118597,259,0.7830803394317627
1778408487.059943,264,0.7828629612922668
1778410948.105533,269,0.78385990858078
1778413400.0465484,274,0.7954251170158386
1778415849.8565667,279,0.8372493982315063
1778418296.5923276,284,0.7987430691719055
1778420736.5188944,289,0.810505211353302
1778423180.5485444,294,0.8226824998855591
1778425625.4279013,299,0.812309980392456
1778428065.8619645,304,0.8195884823799133
1778430510.3937569,309,0.8165740966796875
1778432953.6373374,314,0.8326336741447449
1778435396.7357178,319,0.8345538973808289
1778437840.4149115,324,0.816835880279541
1778440283.1939812,329,0.8167288899421692
1778442727.404423,334,0.8217689990997314
1778445183.1035445,339,0.8345180153846741
1778447636.1304028,344,0.8285568952560425
1778450087.1396244,349,0.8318051695823669
