Wall time,Step,Value
1778327430.0052052,99,0.20794394612312317
1778329901.866269,104,0.09368810057640076
1778332368.9045382,109,0.5033673048019409
1778334846.9502242,114,0.22893571853637695
1778337320.201769,119,0.4929654896259308
1778339770.4996185,124,0.19745920598506927
1778342237.114528,129,0.3602311313152313
1778344704.0597832,134,0.3860696256160736
1778347168.5738912,139,0.39165133237838745
1778349637.6098235,144,0.33383744955062866
1778352103.41514,149,0.37477973103523254
1778354562.5363076,154,0.38389432430267334
1778357018.4733438,159,0.5251832008361816
1778359472.850188,164,0.5167171955108643
1778361945.633337,169,0.5395512580871582
1778364400.8562863,174,0.4066099524497986
1778366858.366595,179,0.4180539548397064
1778369319.8563442,184,0.5193246603012085
1778371775.3353186,189,0.49897027015686035
1778374236.081149,194,0.44426459074020386
1778376689.8750381,199,0.5705114603042603
1778379143.6469183,204,0.47164955735206604
1778381588.0772429,209,0.42523419857025146
1778384030.924728,214,0.5830643773078918
1778386476.833343,219,0.49546679854393005
1778388923.724673,224,0.5332850813865662
1778391369.300806,229,0.5500501990318298
1778393820.1387885,234,0.5539720058441162
1778396265.5115883,239,0.5194432139396667
1778398711.2841425,244,0.5103944540023804
1778401153.0600743,249,0.43872228264808655
1778403594.9570298,254,0.5702542662620544
1778406040.5117972,259,0.6260194778442383
1778408487.0599074,264,0.5626109838485718
1778410948.105491,269,0.5154749155044556
1778413400.0465095,274,0.548283576965332
1778415849.8564916,279,0.6123347282409668
1778418296.5922904,284,0.617743730545044
1778420736.518853,289,0.5830737948417664
1778423180.5484836,294,0.6255983710289001
1778425625.4278622,299,0.590624213218689
1778428065.861929,304,0.637884259223938
1778430510.3936937,309,0.6249492168426514
1778432953.6373017,314,0.6385474801063538
1778435396.7356803,319,0.6193579435348511
1778437840.414829,324,0.6534191966056824
1778440283.1939454,329,0.6454191207885742
1778442727.404375,334,0.6129500865936279
1778445183.1035054,339,0.6566352844238281
1778447636.130365,344,0.6119264364242554
1778450087.1395826,349,0.5909661650657654
