Wall time,Step,Value
1778327430.9250236,99,0.5243949294090271
1778329903.6703367,104,0.5904520750045776
1778332370.6627796,109,0.6432580351829529
1778334846.950678,114,0.6364537477493286
1778337321.9983563,119,0.7185920476913452
1778339770.499968,124,0.6876451373100281
1778342238.888439,129,0.721277117729187
1778344704.060083,134,0.7039781808853149
1778347168.5743873,139,0.7114893794059753
1778349639.3190403,144,0.7237927317619324
1778352103.4155452,149,0.690502405166626
1778354562.5366983,154,0.7231674194335938
1778357020.264805,159,0.7721909284591675
1778359474.623963,164,0.7834752798080444
1778361945.633693,169,0.7658233642578125
1778364400.8566635,174,0.7390312552452087
1778366858.366937,179,0.7515161037445068
1778369319.856942,184,0.781135082244873
1778371775.3358755,189,0.7826207280158997
1778374237.9522023,194,0.7845439314842224
1778376691.7032807,199,0.7948825359344482
1778379143.647456,204,0.778712272644043
1778381588.0776079,209,0.7901877164840698
1778384032.8262665,214,0.8057136535644531
1778386476.8336964,219,0.794008731842041
1778388925.3932772,224,0.8103538155555725
1778391371.0272596,229,0.8137083649635315
1778393821.824948,234,0.8143696784973145
1778396267.3060396,239,0.8223587870597839
1778398711.2844906,244,0.8042436838150024
1778401153.0604548,249,0.8046234846115112
1778403596.691135,254,0.8224396109580994
1778406042.261958,259,0.8298928737640381
1778408487.0604327,264,0.8242651224136353
1778410948.1059165,269,0.8214900493621826
1778413400.046943,274,0.826960563659668
1778415851.5990834,279,0.8438689708709717
1778418296.592606,284,0.8408057689666748
1778420736.5191758,289,0.8352105021476746
1778423182.3627625,294,0.8465010523796082
1778425625.4282274,299,0.837659478187561
1778428065.8624966,304,0.8428393006324768
1778430510.3941343,309,0.8435193300247192
1778432955.397527,314,0.852034866809845
1778435396.7361557,319,0.8432872295379639
1778437840.4152195,324,0.8479634523391724
1778440283.1943161,329,0.8509805798530579
1778442727.404613,334,0.8469424843788147
1778445183.103937,339,0.8508251905441284
1778447636.1308398,344,0.845465898513794
