Wall time,Step,Value
1778327430.0051358,99,0.42364534735679626
1778329901.8661637,104,0.3847014307975769
1778332368.9045007,109,0.514231264591217
1778334846.9501104,114,0.45351356267929077
1778337320.2017314,119,0.5207548141479492
1778339770.49951,124,0.5416403412818909
1778342237.1144857,129,0.5289396047592163
1778344704.0597458,134,0.5113170146942139
1778347168.573852,139,0.5419294238090515
1778349637.609776,144,0.5102536678314209
1778352103.4151058,149,0.5348141193389893
1778354562.5362701,154,0.5279070734977722
1778357018.4733076,159,0.5768526792526245
1778359472.8499982,164,0.563093900680542
1778361945.633301,169,0.526728630065918
1778364400.8562505,174,0.48997998237609863
1778366858.3665564,179,0.559599757194519
1778369319.8562875,184,0.5878986716270447
1778371775.3352654,189,0.6076919436454773
1778374236.0810993,194,0.6025028824806213
1778376689.8749738,199,0.5813758373260498
1778379143.6468651,204,0.5747685432434082
1778381588.0772047,209,0.6173080801963806
1778384030.924624,214,0.6013136506080627
1778386476.8333046,219,0.6120522022247314
1778388923.7246208,224,0.5996735692024231
1778391369.3007534,229,0.6337259411811829
1778393820.1387477,234,0.6468905806541443
1778396265.5115504,239,0.6510217785835266
1778398711.2841063,244,0.6159909963607788
1778401153.0600364,249,0.6255021095275879
1778403594.9569886,254,0.6342479586601257
1778406040.511743,259,0.6459986567497253
1778408487.0598683,264,0.6630488634109497
1778410948.105447,269,0.6604498624801636
1778413400.0464704,274,0.6637938022613525
1778415849.8564327,279,0.670440673828125
1778418296.5922494,284,0.6873211860656738
1778420736.5188053,289,0.6598790884017944
1778423180.5483828,294,0.6851308345794678
1778425625.4278135,299,0.6827967762947083
1778428065.8618932,304,0.6723785400390625
1778430510.3936477,309,0.6845166087150574
1778432953.637266,314,0.6858653426170349
1778435396.735643,319,0.6875299215316772
1778437840.41476,324,0.6848585605621338
1778440283.193908,329,0.6886086463928223
1778442727.4042351,334,0.6888387203216553
1778445183.1034696,339,0.684759259223938
1778447636.130329,344,0.6801506876945496
1778450087.1395397,349,0.691699206829071
