Wall time,Step,Value
1778327430.0052881,99,0.49805599451065063
1778329901.8663478,104,0.7375718355178833
1778332368.904675,109,0.642667829990387
1778334846.9503417,114,0.6850124001502991
1778337320.2018547,119,0.7074612379074097
1778339770.4997022,124,0.8034005165100098
1778342237.1146333,129,0.811205267906189
1778344704.059863,134,0.7107096910476685
1778347168.5740862,139,0.7492331266403198
1778349637.6099014,144,0.8468748927116394
1778352103.4152708,149,0.7317460775375366
1778354562.5364425,154,0.7742236852645874
1778357018.473478,159,0.8591008186340332
1778359472.8503008,164,0.9231909513473511
1778361945.6334093,169,0.7963135242462158
1778364400.8563566,174,0.8476945161819458
1778366858.3666704,179,0.811385989189148
1778369319.8564534,184,0.8222725987434387
1778371775.335447,189,0.8370285034179688
1778374236.0812252,194,0.8881454467773438
1778376689.8751493,199,0.886674165725708
1778379143.647021,204,0.8610998392105103
1778381588.0773191,209,0.892219603061676
1778384030.9248416,214,0.8754555583000183
1778386476.8334794,219,0.8922261595726013
1778388923.7247736,224,0.9443504214286804
1778391369.3008943,229,0.9022696614265442
1778393820.1388736,234,0.9151092171669006
1778396265.511661,239,0.9431201815605164
1778398711.284283,244,0.8858712911605835
1778401153.0601478,249,0.9494603872299194
1778403594.9571068,254,0.9324158430099487
1778406040.511913,259,0.9079067707061768
1778408487.0599809,264,0.9204897284507751
1778410948.1055756,269,0.9445204734802246
1778413400.046586,274,0.9217157363891602
1778415849.85661,279,0.9435851573944092
1778418296.592364,284,0.9356760382652283
1778420736.5189338,289,0.943641722202301
1778423180.5486164,294,0.9341822266578674
1778425625.4279392,299,0.948760986328125
1778428065.8621027,304,0.9268192052841187
1778430510.393799,309,0.9372797608375549
1778432953.637437,314,0.9605955481529236
1778435396.735755,319,0.9245936870574951
1778437840.4149547,324,0.9388425350189209
1778440283.194019,329,0.9690310955047607
1778442727.4044595,334,0.9558317065238953
1778445183.1036441,339,0.940298855304718
1778447636.1305022,344,0.9437614679336548
1778450087.1396642,349,0.9673324823379517
