Wall time,Step,Value
1778327430.0046046,99,0.8052882552146912
1778329901.86601,104,0.8122804164886475
1778332368.9043508,109,0.8403148651123047
1778334846.94978,114,0.8566401600837708
1778337320.2015138,119,0.8741755485534668
1778339770.4993355,124,0.8688945174217224
1778342237.1142566,129,0.8658069372177124
1778344704.0595345,134,0.8651590347290039
1778347168.5736341,139,0.8799574375152588
1778349637.6095586,144,0.8858514428138733
1778352103.414958,149,0.8749960660934448
1778354562.5361207,154,0.8881004452705383
1778357018.4731572,159,0.8931692838668823
1778359472.8497255,164,0.8865946531295776
1778361945.6330764,169,0.9020022749900818
1778364400.8560994,174,0.8904519081115723
1778366858.366404,179,0.9010733366012573
1778369319.8559966,184,0.9056581854820251
1778371775.3349955,189,0.9047751426696777
1778374236.080829,194,0.9072356820106506
1778376689.8746166,199,0.9112119674682617
1778379143.6465929,204,0.9124118685722351
1778381588.076989,209,0.9098347425460815
1778384030.9244645,214,0.9124587774276733
1778386476.8331535,219,0.9089753031730652
1778388923.7243571,224,0.9151961803436279
1778391369.3004777,229,0.9181545972824097
1778393820.1385274,234,0.9135655164718628
1778396265.5113986,239,0.9181177020072937
1778398711.2839572,244,0.9172118306159973
1778401153.0598278,249,0.9181213974952698
1778403594.9566214,254,0.9248517751693726
1778406040.5114677,259,0.9229137897491455
1778408487.0596437,264,0.9220675826072693
1778410948.1052744,269,0.9208109378814697
1778413400.046317,274,0.924705445766449
1778415849.8559744,279,0.9248201251029968
1778418296.5920322,284,0.9232451915740967
1778420736.5185804,289,0.9232891798019409
1778423180.548119,294,0.9238701462745667
1778425625.427585,299,0.9224088788032532
1778428065.86174,304,0.9247934222221375
1778430510.3934166,309,0.925551176071167
1778432953.63711,314,0.9265550374984741
1778435396.7354314,319,0.9280548691749573
1778437840.4145389,324,0.9295299053192139
1778440283.1937377,329,0.9289392828941345
1778442727.4039497,334,0.9286876916885376
1778445183.1033213,339,0.9294866919517517
1778447636.1301796,344,0.929783046245575
1778450087.1393168,349,0.927888810634613
