Wall time,Step,Value
1778327430.0049398,99,0.6931016445159912
1778329901.866081,104,0.6965640783309937
1778332368.9044197,109,0.7763799428939819
1778334846.9499443,114,0.8131165504455566
1778337320.2015831,119,0.8655058145523071
1778339770.4994085,124,0.8644300699234009
1778342237.1143973,129,0.8519958257675171
1778344704.0596027,134,0.8278487920761108
1778347168.573702,139,0.7966511845588684
1778349637.6096287,144,0.8706306219100952
1778352103.4150305,149,0.8336542844772339
1778354562.5361888,154,0.8596717119216919
1778357018.473227,159,0.8787490725517273
1778359472.8497968,164,0.8972541689872742
1778361945.6332183,169,0.8819411993026733
1778364400.8561697,174,0.8894776701927185
1778366858.3664777,179,0.9003462195396423
1778369319.8561633,184,0.9064490795135498
1778371775.3351486,189,0.8942997455596924
1778374236.0809028,194,0.9054535031318665
1778376689.8747673,199,0.8863967657089233
1778379143.6467438,204,0.890619158744812
1778381588.0770595,209,0.9084059596061707
1778384030.9245415,214,0.9191058874130249
1778386476.8332243,219,0.9169291257858276
1778388923.7245073,224,0.9192407131195068
1778391369.3006244,229,0.9225246906280518
1778393820.1385968,234,0.9192696809768677
1778396265.51147,239,0.9249941110610962
1778398711.284026,244,0.9213958382606506
1778401153.059897,249,0.9217037558555603
1778403594.9567962,254,0.915738046169281
1778406040.5116186,259,0.9326038360595703
1778408487.0597153,264,0.9247440099716187
1778410948.1053562,269,0.9315699338912964
1778413400.046391,274,0.932413637638092
1778415849.8561466,279,0.9280603528022766
1778418296.592101,284,0.9255902767181396
1778420736.5186522,289,0.927245020866394
1778423180.5481925,294,0.9285237193107605
1778425625.427662,299,0.9273483753204346
1778428065.8618088,304,0.9329735040664673
1778430510.3934977,309,0.9348477721214294
1778432953.6371813,314,0.9343868494033813
1778435396.7354996,319,0.9289398789405823
1778437840.414609,324,0.9316456317901611
1778440283.1938117,329,0.9276605844497681
1778442727.4041326,334,0.9368565082550049
1778445183.1033902,339,0.9267314076423645
1778447636.1302488,344,0.9315202236175537
1778450087.1393878,349,0.933601975440979
