Wall time,Step,Value
1778327250.6393602,99,88.78694915771484
1778329714.7233024,104,88.47290802001953
1778332186.273247,109,89.44580841064453
1778334650.3145251,114,92.20443725585938
1778337134.566558,119,91.18226623535156
1778339609.5493076,124,89.4027099609375
1778342057.8829465,129,92.0812759399414
1778344529.954299,134,91.79803466796875
1778346998.8653572,139,90.22167205810547
1778349462.2102752,144,92.29064178466797
1778351930.2880368,149,91.2807846069336
1778354393.593481,154,91.56404113769531
1778356854.9006345,159,92.39531707763672
1778359310.6371708,164,92.17980194091797
1778361770.4543707,169,93.0972900390625
1778364241.3033183,174,92.43842315673828
1778366698.4930005,179,92.40148162841797
1778369156.4964843,184,93.67610931396484
1778371620.4874854,189,93.1219253540039
1778374074.23417,194,93.18965911865234
1778376534.6798844,199,93.1527099609375
1778378985.7490351,204,93.19581604003906
1778381432.4042501,209,93.43595886230469
1778383877.96994,214,92.90640258789062
1778386322.087674,219,94.027099609375
1778388767.481032,224,93.9285659790039
1778391218.7918901,229,94.15640258789062
1778393664.8107688,234,93.94088745117188
1778396115.725746,239,93.91625213623047
1778398561.7661743,244,93.59606170654297
1778401006.4351504,249,93.53448486328125
1778403446.1223145,254,93.92240905761719
1778405890.5547352,259,94.22413635253906
1778408335.931083,264,94.5135498046875
1778410789.1889102,269,94.45197296142578
1778413248.898217,274,94.73522186279297
1778415702.6199598,279,94.39655303955078
1778418147.7202466,284,94.58744049072266
1778420589.9919083,289,94.08251190185547
1778423033.4683626,294,94.43965911865234
1778425481.2603374,299,93.97782897949219
1778427922.254039,304,94.37191772460938
1778430364.4087076,309,94.5689697265625
1778432809.3389373,314,94.43965911865234
1778435251.5759432,319,94.86453247070312
1778437694.934923,324,94.66133117675781
1778440138.6545477,329,94.61206817626953
1778442582.4645054,334,94.82758331298828
1778445034.2160764,339,94.82758331298828
1778447492.2699075,344,94.63053894042969
1778449941.3449016,349,94.55049133300781
